trial,t_low,t_high,radius,dice,hausdorff,score
484,0.29535647982085267,79.08759522833726,1,0.9861884606816663,26.0,0.9861884606816663
514,0.3320683491499216,79.83763474610296,1,0.9861884606816663,26.0,0.9861884606816663
555,0.3761079644458176,80.97024902337914,1,0.9851881505204163,26.0,0.9851881505204163
594,0.3044925543512144,80.9715834815274,1,0.9851881505204163,26.0,0.9851881505204163
560,0.21367994104031157,80.79526891268654,1,0.9851881505204163,26.0,0.9851881505204163
563,0.34770941571418923,80.38645601471026,1,0.9851881505204163,26.0,0.9851881505204163
565,0.26149260228591165,80.71898182472218,1,0.9851881505204163,26.0,0.9851881505204163
568,0.29279027244332356,80.64547254793196,1,0.9851881505204163,26.0,0.9851881505204163
574,0.1673000689508329,80.96845830946454,1,0.9851881505204163,26.0,0.9851881505204163
575,0.19131529831355476,80.77230090563675,1,0.9851881505204163,26.0,0.9851881505204163
