trial,n_classes,c_start,c_end,radius_closing,radius_opening,dice,hausdorff,score
85,4,0,0,1,1,0.9765839600126086,26.0,0.9505839600126086
112,4,0,0,3,1,0.968131036631504,26.0,0.942131036631504
159,5,0,0,3,1,0.9658621536537989,26.0,0.9398621536537989
157,5,0,0,3,1,0.9658621536537989,26.0,0.9398621536537989
158,5,0,0,3,1,0.9658621536537989,26.0,0.9398621536537989
399,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
352,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
353,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
354,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
355,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
356,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
357,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
349,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
358,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
359,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
360,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
361,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
362,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
363,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
351,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
346,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
348,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
347,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
365,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
345,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
344,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
343,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
342,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
160,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
161,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
162,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
163,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
164,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
166,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
167,5,0,0,4,1,0.8824690252883852,26.0,0.8564690252883852
