trial,sigma,low_threshold,high_threshold,dice_slice
192,2.1616902296536886,46.229519664805245,121.89579579390224,0.3647898493259318
349,2.3668617444529643,47.13707669940756,131.99067819077143,0.3634907926341073
354,2.389064087871659,47.05246313844151,104.26364360650584,0.3634907926341073
314,2.376831348476576,47.486724683094835,127.59738242170216,0.3634907926341073
380,2.3812490761857643,45.40352195598358,131.29007511232325,0.3632
315,2.383246840969619,45.444022165036095,126.3612156121039,0.3632
277,2.3762190492836686,42.094838048331,123.848781269789,0.36290967226219023
260,2.38878826572334,42.04927662930491,129.42944975655539,0.36290967226219023
252,2.3811533801328215,42.60845154541995,127.95967283637566,0.36290967226219023
326,2.3813610079856344,44.67997626995454,105.29952370232225,0.36290967226219023
