trial,window_size,k,polarity,radius_closing,radius_opening,dice,hausdorff,score
200,9,0.0844003868284248,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
263,37,0.09518762592297071,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
273,35,0.06723861709850514,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
272,37,0.07067239341432376,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
271,35,0.0646113595137548,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
270,37,0.07242913073314441,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
269,37,0.09594829297125144,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
268,37,0.0637234824903792,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
267,37,0.1638958052870904,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
266,37,0.09423226017071457,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
265,37,0.16298889320664808,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
264,37,0.09639091441685324,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
262,37,0.09396023111934389,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
1,21,0.17310963593030515,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
261,37,0.09341844722493664,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
260,37,0.06486412382400616,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
259,35,0.0929357541179272,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
258,37,0.09482490146428169,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
257,37,0.0940420204219394,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
256,37,0.06252938302493566,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
255,37,0.15446254444770663,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
