trial,window_size,k,polarity,radius_closing,radius_opening,dice,hausdorff,score
200,9,0.0844003868284248,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
263,37,0.09518762592297071,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
273,35,0.06723861709850514,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
272,37,0.07067239341432376,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
271,35,0.0646113595137548,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
270,37,0.07242913073314441,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
269,37,0.09594829297125144,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
268,37,0.0637234824903792,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
267,37,0.1638958052870904,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
266,37,0.09423226017071457,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
