trial,beta,t_marker_bg,t_marker_fg,dice_slice
216,77.76245715057337,154.70512196671098,2.4463501112637056,0.9709887507400828
399,78.29080967122411,155.44654864010408,0.9719702978558541,0.9704142011834319
395,77.82026963816345,155.99339003411623,0.9728156227634637,0.9704142011834319
342,80.37543454515288,157.4524160455961,1.5263265886356558,0.9698403311649911
345,79.44078110196067,157.84216950849552,1.2575140635897037,0.9698403311649911
346,79.72688763268208,158.23485243691587,1.1967369534022754,0.9698403311649911
349,78.06064402150884,157.7098861250655,1.4732437631777981,0.9698403311649911
350,76.77351361108202,157.12491273028516,1.3958310532157148,0.9698403311649911
353,77.75431498074134,158.42414418199417,1.5931923845311546,0.9698403311649911
343,77.99549797912498,158.7358921283999,1.098192127048987,0.9698403311649911
387,78.68508732834275,158.04041742177282,0.3963382968355593,0.9698403311649911
391,79.1559073010332,164.86223158538226,0.06792325573181035,0.9698403311649911
224,74.26992647088946,153.71392736595408,2.070496280624502,0.9698046181172292
228,74.37746616272709,154.17344546314735,2.237211109486873,0.9698046181172292
249,53.30024877613354,147.93245225651145,4.142204650700515,0.9698046181172292
213,69.14924044021834,154.3335789590786,2.959709205778108,0.9698046181172292
211,68.8654821253592,154.74810805740256,3.6920963948253593,0.9698046181172292
185,74.31753392453749,154.0644342569855,1.8836398380246626,0.9698046181172292
221,74.58781283958558,154.58870622616428,1.841204420616265,0.9698046181172292
178,75.95305153932283,153.1445451696961,1.4581218701451943,0.9698046181172292
393,79.06938947718837,156.1714969247944,0.1787511225497429,0.9698046181172292
199,58.54061867374988,154.80360691508395,1.7906529286366384,0.9692671394799054
331,83.85551558246112,158.38665528609212,1.328789615704649,0.9692307692307692
222,74.41089716092189,155.14513119153503,1.9953920992415368,0.9692307692307692
339,85.62297959734019,157.77742577521587,0.9603610188347014,0.9692307692307692
323,85.51519003069674,158.42662055746638,1.1639120183169491,0.9692307692307692
341,84.58480107100941,158.5204234086269,1.294771760603482,0.9692307692307692
333,86.53478307983832,158.54599445060757,1.0970888570031516,0.9692307692307692
334,86.52906102806404,157.5816356962501,1.272264810932844,0.9692307692307692
336,84.82021089827991,157.75248947992597,1.4183998255177233,0.9692307692307692
338,84.24229574643174,157.56783237781355,0.9743321086980643,0.9692307692307692
183,73.10584226084502,152.73500651196767,1.666189695753026,0.9691943127962085
184,73.6072176687349,153.76373134210954,1.7945831011001911,0.9691943127962085
212,71.3247158487649,154.1620572037059,2.75873723954518,0.9691943127962085
214,70.84486880355804,154.1442418142447,3.829695528274143,0.9691943127962085
217,73.53634979489306,153.99545358538884,2.3279629254915633,0.9691943127962085
219,73.32489297848548,154.6307537652495,2.393557400042093,0.9691943127962085
223,73.57235481067715,152.11265968039947,2.103817060257943,0.9691943127962085
225,73.69117384965318,154.87503410854725,2.057567747518731,0.9691943127962085
226,72.66871491006569,154.88377660795527,1.8008011498652947,0.9691943127962085
229,72.3305301286531,154.1570754196262,2.094812385523251,0.9691943127962085
218,76.2322143412188,153.89771303645986,2.2761559294167544,0.9691577698695136
291,58.60634533183427,146.68501504862746,5.352248098394223,0.9691577698695136
220,76.033721165321,153.93050479398423,2.4004452860719425,0.9691577698695136
275,56.969241892914106,146.58800469078795,3.256108621193394,0.9691577698695136
277,55.50594057562986,146.54803742993533,3.1566509817778052,0.9691577698695136
396,113.69973399583137,164.65402483804013,1.0499572500523446,0.9691211401425178
390,114.90425249178539,156.99534759305314,0.10214399276849773,0.9690844233055886
207,193.1055384464616,154.13562051711355,8.236014965346298,0.9688249400479616
274,55.17375339130539,162.0906279445696,3.303732458427893,0.9687684148497349
280,54.63821583549744,162.1097354625735,3.232178964126004,0.9687684148497349
266,55.4935967116211,162.35824873069583,4.455595092545229,0.9687684148497349
267,55.99080195549527,162.44896549623553,4.526706560563695,0.9687684148497349
215,74.39877006684516,153.46360989738142,21.241710697631973,0.9687684148497349
292,58.242568847519664,161.8766214352503,3.224413592732242,0.9687315634218289
287,59.61841677464541,162.22657029046664,3.085267552046635,0.9687315634218289
283,58.90389620900027,162.01278340694392,3.3996018360907625,0.9687315634218289
285,59.442048362595756,162.13599452447875,3.3566197349618463,0.9687315634218289
284,59.14568828400005,162.9062092249314,3.0008758128965605,0.9687315634218289
268,56.97493857497512,160.85240737569214,4.525007719017152,0.9687315634218289
282,58.62647375706278,161.83939500746783,3.484587599082302,0.9687315634218289
160,82.09691198790837,167.3050712199907,0.08718621929192238,0.9687315634218289
276,59.692967882790015,162.74428154086198,3.488211872395958,0.9687315634218289
281,57.82256618990493,160.7467942756016,3.432898405500124,0.9687315634218289
360,69.11424873747477,157.23985503400647,1.816194192381012,0.9686575990538143
359,69.53526012892989,158.66726128898247,1.9407658319795023,0.9686575990538143
358,69.83194867916687,158.23226527654157,1.7522478117262155,0.9686575990538143
355,69.62322830960257,157.92216265595408,1.8767677896556583,0.9686575990538143
354,69.71447347408902,158.31038762266323,1.6556780914701985,0.9686575990538143
182,67.48944727245355,152.24058836235344,1.7567345878585936,0.9686575990538143
200,63.83049672508753,152.11127767875462,2.139462900450977,0.9686575990538143
357,72.35293485824546,156.48404834717212,1.738436500093371,0.9686204854943754
232,72.43857247677332,155.31190537862054,2.316140127143684,0.9686204854943754
311,63.110606325843094,149.24564144276198,3.1982013611726607,0.9686204854943754
171,65.49978355728963,151.07687010970537,0.6496249682770667,0.9686204854943754
299,59.20982933447421,147.1606996928761,3.0986591244717916,0.968583283935981
304,59.73859749056153,147.1631389790135,3.15587288195724,0.968583283935981
270,57.31147567315251,147.2884876465036,4.5292936053971715,0.968583283935981
271,55.68904420707842,147.7587794915317,4.219714277728534,0.968583283935981
296,59.72658357843199,148.917317723884,3.081019783576783,0.968583283935981
293,59.00887718278014,147.91537881632928,3.0676707514996195,0.968583283935981
180,78.98046471354432,152.2572718859648,1.427608033461158,0.9685459940652819
290,60.07604969652065,146.50305510028477,3.262596329145911,0.9685459940652819
301,61.78946647605531,146.3482294863438,3.2973428252502104,0.9685459940652819
382,107.86158527849085,158.46756611036355,0.02856283456445685,0.9685459940652819
383,107.62300936269054,158.43558411639052,0.08653251304263532,0.9685459940652819
173,72.18526175965887,151.53294787073744,0.8009778059134454,0.9685459940652819
169,69.49914913711962,151.62728811794017,0.49799113366619396,0.9685459940652819
389,108.58875860986085,156.95804132074417,0.47823031394836646,0.9685086155674391
308,85.74258895580594,148.5854704006765,3.0880903411454463,0.968320382546324
316,87.86659164896972,148.9107630566335,0.9318113709039801,0.968320382546324
210,200.41181274218835,154.16274029983512,8.335745745221807,0.9682444577591373
127,20.76244326321779,124.43810626653782,6.19420938820078,0.9682444577591373
261,52.30311323577201,161.59641717990812,4.429986356477501,0.9682352941176471
240,51.72776458874669,156.65292946626505,4.422071624991833,0.9682352941176471
258,53.50925785377356,157.3547343387413,4.43471513093058,0.9681978798586572
294,60.34046397445932,161.84977524749016,3.220610221376712,0.9681227863046045
289,60.04353277532517,161.57806596942473,3.3393665179380854,0.9681227863046045
286,61.670850667092424,162.7899197981916,3.0693231078351007,0.9681227863046045
397,79.14193792771063,165.42250686470024,1.0232912859763197,0.9681227863046045
398,78.61487712921335,165.14898345162484,1.0138524846375692,0.9681227863046045
344,68.33437708321784,158.8513281505449,1.2103365933184334,0.9680851063829787
361,70.89080262976549,158.49862208933928,1.6518590923113394,0.9680473372781065
298,60.29206075325757,147.19392852471265,3.0951782661043405,0.9679715302491103
305,61.62615835049189,147.63356863687565,3.2330568729260385,0.9679715302491103
306,62.0667833463101,147.75452462946666,1.145810096146862,0.9679715302491103
307,61.158744028898,147.08534324583258,3.310018117481328,0.9679715302491103
297,62.43099022014798,147.12749685858162,3.1556379078400703,0.9679715302491103
302,60.44450578017033,148.00649362062524,3.2769321722834857,0.9679715302491103
372,101.61158880967709,158.21143893595885,0.13121419456315953,0.9679715302491103
368,100.62900816726679,158.3516255234549,0.33716754684064787,0.9679715302491103
381,101.46512422929432,158.3115542599927,0.3785388011001354,0.9679715302491103
380,103.5902232438252,158.58381633950586,0.06396446067501538,0.9679715302491103
378,97.21877223520787,158.50730894915444,0.22685994553710942,0.9679715302491103
377,97.93637823622069,157.8270627882155,0.05911446915903196,0.9679715302491103
376,103.93876036266057,158.75144843822656,0.23706533342758407,0.9679715302491103
375,105.45083272746228,157.93904942450328,0.03547840756534848,0.9679715302491103
374,99.79908875048184,157.0806981137382,0.26257992491770477,0.9679715302491103
373,104.28355970053256,158.02966339864486,0.4508610382276078,0.9679715302491103
386,106.16695768366401,158.80102417715827,0.0004172252865544124,0.9679715302491103
369,99.44248769096208,158.2655513402754,0.16474734338610075,0.9679715302491103
384,105.90731431366981,157.88103261113625,0.05031733417340267,0.9679715302491103
367,101.04810670479841,158.27987004789105,0.12146842533532598,0.9679715302491103
366,102.74688219934798,156.60526522781748,0.18351816122181042,0.9679334916864608
