trial,num_iter,smoothing,lambda1,lambda2,t_init,radius_closing,dice,hausdorff,score
394,25,1,3,2,23.139939882269427,1,0.9505868778983336,26.0,0.9245868778983336
332,24,1,3,2,23.874140624497073,1,0.9505868778983336,26.0,0.9245868778983336
40,30,1,3,2,28.175312523662576,3,0.9505841665373446,26.0,0.9245841665373445
271,24,1,3,1,47.44660210255185,1,0.9509830447330447,26.40075756488817,0.9245822871681566
200,25,1,4,2,20.919634584948323,1,0.9505785272221724,26.0,0.9245785272221724
325,24,1,3,2,25.019211221407332,1,0.9505772646536412,26.0,0.9245772646536412
277,24,1,3,2,25.527460605519572,1,0.9505772646536412,26.0,0.9245772646536412
356,25,1,3,2,24.231710213686174,1,0.9505723666696246,26.0,0.9245723666696246
344,28,1,3,2,24.020795359188785,1,0.9505723666696246,26.0,0.9245723666696246
379,25,1,3,2,23.625215260423357,1,0.9505701734924791,26.0,0.924570173492479
378,25,1,3,2,23.80285583181812,1,0.950549084858569,26.0,0.924549084858569
382,25,1,3,2,23.558691774411255,1,0.950549084858569,26.0,0.924549084858569
329,24,1,3,2,23.25716787854294,1,0.950549084858569,26.0,0.924549084858569
396,25,1,3,2,23.03128142128163,1,0.950549084858569,26.0,0.924549084858569
323,24,1,3,2,24.269465899171227,1,0.950535056169797,26.0,0.924535056169797
130,26,1,3,2,37.488348486100605,3,0.95046652334833,26.0,0.92446652334833
129,22,1,4,1,65.12780061233607,1,0.9508591143291645,26.40075756488817,0.9244583567642763
225,21,1,4,1,47.67844988719865,1,0.9508591143291645,26.40075756488817,0.9244583567642763
303,24,1,3,2,25.260930495351364,1,0.9503706663115372,26.0,0.9243706663115372
256,24,1,3,1,25.766817445228295,1,0.9507701328281803,26.40075756488817,0.9243693752632922
393,25,1,3,2,23.08096761771087,1,0.9503542948532842,26.0,0.9243542948532841
346,25,1,3,2,23.90166691409521,1,0.9503542948532842,26.0,0.9243542948532841
285,24,1,3,2,25.43106116724396,1,0.9503328894806924,26.0,0.9243328894806924
282,24,1,3,2,25.404709499619287,1,0.9503328894806924,26.0,0.9243328894806924
345,28,1,3,2,24.042837572653493,1,0.9503073884191136,26.0,0.9243073884191135
