trial,mu,lambda1,lambda2,tol,max_num_iter,dice_slice
376,0.022345451616021555,1.2943903615605667,1.731872283798261,0.0011655657241826877,98,0.40560792845056803
387,0.014663424214829617,1.2774231958739304,1.726628078536384,0.0011545383120493886,93,0.38636886944508403
391,0.007802592503210304,1.3023745462436649,1.6997071618132191,0.0011520320483652446,98,0.38556985294117646
389,0.00931884098345477,1.300190694496382,1.7357515425038608,0.0011128446877109474,93,0.3810172570390554
371,0.01835398492825771,1.2647180332179917,1.8533555571056686,0.0019242446544149264,92,0.38049886621315193
66,0.07656454828370862,1.2742479146500523,1.636610164072652,0.00019356408920382496,84,0.3770786516853933
394,0.0829706648866968,1.2730560541140443,1.7254382010857605,0.0011121516911944051,93,0.3764864258469823
378,0.006346723937649554,1.2753004654160751,1.8247572922043196,0.0011204202379925322,92,0.3651795429815016
382,0.01728874956186674,1.115979966614124,1.8280917464440134,0.0010799838295720884,94,0.363912383430926
110,0.11079063911236298,1.4434290557765415,1.7659160070009157,0.0005436116004960357,77,0.3607826273919587
