trial,mu,lambda1,lambda2,tol,max_num_iter,dice_slice
376,0.022345451616021555,1.2943903615605667,1.731872283798261,0.0011655657241826877,98,0.40560792845056803
387,0.014663424214829617,1.2774231958739304,1.726628078536384,0.0011545383120493886,93,0.38636886944508403
391,0.007802592503210304,1.3023745462436649,1.6997071618132191,0.0011520320483652446,98,0.38556985294117646
389,0.00931884098345477,1.300190694496382,1.7357515425038608,0.0011128446877109474,93,0.3810172570390554
371,0.01835398492825771,1.2647180332179917,1.8533555571056686,0.0019242446544149264,92,0.38049886621315193
66,0.07656454828370862,1.2742479146500523,1.636610164072652,0.00019356408920382496,84,0.3770786516853933
394,0.0829706648866968,1.2730560541140443,1.7254382010857605,0.0011121516911944051,93,0.3764864258469823
378,0.006346723937649554,1.2753004654160751,1.8247572922043196,0.0011204202379925322,92,0.3651795429815016
382,0.01728874956186674,1.115979966614124,1.8280917464440134,0.0010799838295720884,94,0.363912383430926
110,0.11079063911236298,1.4434290557765415,1.7659160070009157,0.0005436116004960357,77,0.3607826273919587
361,0.02318315987232321,0.9766037125834391,1.6433108163741728,0.00112855586879029,92,0.3528174936921783
381,0.007667814771312745,1.1160921791250074,1.8305422791614638,0.0035120380988845515,92,0.34237910630483576
397,0.0014751468998228032,1.2706313764074968,1.865476468789163,0.0005998714095148443,93,0.3411956079707198
379,0.0878552771008987,1.124212079392009,1.8333402365594937,0.0008629090038920381,98,0.3399513776337115
377,0.005378464765999458,1.121904606477479,1.8084429444145744,0.001104939645577239,93,0.3374220792278303
369,0.00034565910314850873,1.272270517411372,1.7391840185019327,0.0019313132436027218,93,0.3373542420587053
370,0.009130407171456963,0.9984445479526162,1.8357149123177945,0.0006044518077398107,98,0.3339303482587065
368,0.0167151994834037,0.9025166271285427,1.7184170298172714,0.001925923521023877,93,0.32960125712040855
362,0.024047840834415656,0.8682580700691259,1.6931378556780767,0.0019585232727753633,91,0.3282472613458529
53,0.07830451411556738,1.2378993468093527,1.9109601678116057,0.00563276336252428,64,0.32754245559242634
383,0.08809954513091922,1.2753268572609713,1.7439115163396015,0.0008196575133448605,57,0.3231272867321394
70,0.030997097750674385,0.7815927175127714,1.5127670073502595,0.003769642772965129,92,0.3223823246878002
366,0.005308309027814581,0.9864923969809475,1.7046706693677516,0.001844587813783231,99,0.32170245398773006
392,0.0024501649776421247,1.1168286783572587,1.7413566520220398,0.00109509614528813,93,0.3201068294544067
385,0.003506989871115286,1.1273370161894891,1.9559334656839207,0.0011197098902082803,93,0.3193757137419109
384,0.002497133541431787,1.1190974547711765,1.8240056499551331,0.0011308096542686843,93,0.31792345585449033
103,0.13735188693200562,1.0406804201531936,1.1793692861880976,0.0003751420421120385,82,0.30766409974330766
232,0.06129253449346789,1.2256461574084625,1.9917501581311665,0.0007119146783433851,53,0.3054797014381941
367,0.004655626237866321,0.9762401656106259,1.6903119659595567,0.0011754588658406129,93,0.30349068547657804
372,0.004450011421547911,0.986770618437708,1.736388305722839,0.0019531251025389717,93,0.30190716084922636
261,0.04076880166318183,1.14810323543533,1.6236453861992453,0.0009504683978706357,53,0.2976232706633558
260,0.04127317011661326,1.161249149606273,1.6185223815312861,0.0008767962417422656,52,0.29392187773690664
94,0.07202522767787445,1.0673298568400156,1.6632095301262297,0.009035165186108366,53,0.291117279666898
238,0.04436718751432991,1.0446215144396291,1.3051007224041495,0.005966324856638314,55,0.28936023452319365
