trial,t_low,t_high,radius,dice,hausdorff,score
799,2.5202258906393613,79.5369546285543,2,0.976765819840971,26.0,0.950765819840971
782,2.455173113278779,79.18691741465311,2,0.976765819840971,26.0,0.950765819840971
554,2.9528072105630154,79.79991258767136,2,0.976765819840971,26.0,0.950765819840971
549,2.9565375278430057,79.72269660684881,2,0.976765819840971,26.0,0.950765819840971
547,2.9221261174070863,79.1641232022122,2,0.976765819840971,26.0,0.950765819840971
545,2.788305591364641,79.69452983104125,2,0.976765819840971,26.0,0.950765819840971
755,2.4665573467794752,79.32490290913945,2,0.976765819840971,26.0,0.950765819840971
756,2.486895033200094,79.12086126341458,2,0.976765819840971,26.0,0.950765819840971
761,2.5119759648406492,79.14015441984638,2,0.976765819840971,26.0,0.950765819840971
762,2.486798383919129,79.11899140959879,2,0.976765819840971,26.0,0.950765819840971
764,2.4350537992266066,79.07668903264216,2,0.976765819840971,26.0,0.950765819840971
769,2.4290437298489524,79.08895496596162,2,0.976765819840971,26.0,0.950765819840971
776,2.4876819215186643,79.34593903172865,2,0.976765819840971,26.0,0.950765819840971
778,2.673543539308559,79.22373884753152,2,0.976765819840971,26.0,0.950765819840971
779,2.456220071922537,79.20706203415676,2,0.976765819840971,26.0,0.950765819840971
777,2.4303192617620377,79.00057309672381,2,0.976765819840971,26.0,0.950765819840971
555,2.9054494455120397,79.60983119511478,2,0.976765819840971,26.0,0.950765819840971
784,2.4500275593661276,79.06072157462536,2,0.976765819840971,26.0,0.950765819840971
798,2.4644994972979446,79.19004492145758,2,0.976765819840971,26.0,0.950765819840971
785,2.447688107386003,79.05105802626244,2,0.976765819840971,26.0,0.950765819840971
797,2.430625561472553,79.39743616249132,2,0.976765819840971,26.0,0.950765819840971
796,2.4705873869086905,79.12074174936119,2,0.976765819840971,26.0,0.950765819840971
795,2.477033094212722,79.4472049228962,2,0.976765819840971,26.0,0.950765819840971
787,2.5847816871231504,79.32466491488256,2,0.976765819840971,26.0,0.950765819840971
