trial,t_marker_bg,t_marker_fg,radius_closing,dice,hausdorff,score
282,100.14584644167108,0.19990707470888913,1,0.9651901450768307,25.942243542145693,0.939247901534685
163,100.4129723443462,2.22136994739602,1,0.9651901450768307,25.942243542145693,0.939247901534685
165,100.45427661115109,1.5823736441179872,1,0.9651901450768307,25.942243542145693,0.939247901534685
167,100.12104810880112,15.073236883154904,1,0.9651502145922747,25.942243542145693,0.939207971050129
258,100.52114137142637,13.86499422243496,1,0.9651487188291343,25.942243542145693,0.9392064752869886
217,100.01173786900686,14.298883583976133,1,0.9651487188291343,25.942243542145693,0.9392064752869886
220,100.29748257043089,14.141596871045074,1,0.9651487188291343,25.942243542145693,0.9392064752869886
216,100.36193864374245,14.08972193728801,1,0.9651487188291343,25.942243542145693,0.9392064752869886
214,100.02700027692973,14.286300486559973,1,0.9651487188291343,25.942243542145693,0.9392064752869886
205,100.9999662510775,14.164134086363969,1,0.9651487188291343,25.942243542145693,0.9392064752869886
225,100.13629870592361,14.093320526240618,1,0.9651487188291343,25.942243542145693,0.9392064752869886
230,100.20219122623736,14.289563273912314,1,0.9651487188291343,25.942243542145693,0.9392064752869886
190,100.1184521465086,14.725070442233953,1,0.9651487188291343,25.942243542145693,0.9392064752869886
232,100.57799877404072,14.126681186345623,1,0.9651487188291343,25.942243542145693,0.9392064752869886
176,100.05580163596325,14.275073003838921,1,0.9651487188291343,25.942243542145693,0.9392064752869886
169,100.31972665635865,14.727792604316916,1,0.9651487188291343,25.942243542145693,0.9392064752869886
164,100.93481865323906,14.660718603891205,1,0.9651487188291343,25.942243542145693,0.9392064752869886
242,100.19240194924578,13.953579131429557,1,0.9651487188291343,25.942243542145693,0.9392064752869886
246,100.68844129348167,14.507507813630447,1,0.9651487188291343,25.942243542145693,0.9392064752869886
248,100.6303205170632,14.286776093037965,1,0.9651487188291343,25.942243542145693,0.9392064752869886
249,100.88591413405432,14.022313471976396,1,0.9651487188291343,25.942243542145693,0.9392064752869886
160,100.58103348147434,12.612961589880333,1,0.9651487188291343,25.942243542145693,0.9392064752869886
158,100.78005029631845,13.419606467732914,1,0.9651487188291343,25.942243542145693,0.9392064752869886
156,100.52436252486531,14.383646346374512,1,0.9651487188291343,25.942243542145693,0.9392064752869886
261,100.01868020215815,14.097175702071999,1,0.9651487188291343,25.942243542145693,0.9392064752869886
255,100.05028496561793,14.460738173759927,1,0.9651487188291343,25.942243542145693,0.9392064752869886
219,100.69663151694813,14.412097143709804,1,0.9651487188291343,25.942243542145693,0.9392064752869886
166,100.18407956341699,24.561508451638,1,0.9650259623224478,25.942243542145693,0.9390837187803021
161,100.85649311686628,24.43715859346554,1,0.9650259623224478,25.942243542145693,0.9390837187803021
170,100.54500139300457,24.89336252147607,1,0.9650259623224478,25.942243542145693,0.9390837187803021
277,100.64246357288503,24.578020529989157,1,0.9650259623224478,25.942243542145693,0.9390837187803021
279,100.42362631544148,24.39628111738469,1,0.9650259623224478,25.942243542145693,0.9390837187803021
280,100.46561664360739,24.24013188224771,1,0.9650259623224478,25.942243542145693,0.9390837187803021
281,100.37640466141889,24.337287858599954,1,0.9650259623224478,25.942243542145693,0.9390837187803021
133,100.08798375330679,27.32375422297123,1,0.9650052567210934,25.942243542145693,0.9390630131789477
139,100.2971005107065,26.374914655303137,1,0.9650052567210934,25.942243542145693,0.9390630131789477
140,100.74681258588755,28.791551219060185,1,0.964984552008239,25.942243542145693,0.9390423084660933
157,101.83289875002954,1.1110415175802926,1,0.9647760425604942,25.942243542145693,0.9388337990183485
159,101.62827006720859,1.766969997643935,1,0.9647760425604942,25.942243542145693,0.9388337990183485
162,100.40921968915485,36.77760657299628,1,0.9647361647361647,25.942243542145693,0.938793921194019
168,101.21469404564914,14.989715192112216,1,0.9647346518512163,25.942243542145693,0.9387924083090706
191,101.55505645521256,14.147621835869348,1,0.9647346518512163,25.942243542145693,0.9387924083090706
194,101.60136048866161,13.973145402827285,1,0.9647346518512163,25.942243542145693,0.9387924083090706
253,101.50171556383218,14.331820084313549,1,0.9647346518512163,25.942243542145693,0.9387924083090706
250,101.78006582162541,13.886653520284039,1,0.9647346518512163,25.942243542145693,0.9387924083090706
239,101.51874731146663,14.372994106366715,1,0.9647346518512163,25.942243542145693,0.9387924083090706
210,101.28786770275401,14.381126653326916,1,0.9647346518512163,25.942243542145693,0.9387924083090706
212,101.66121104628688,14.071165743766839,1,0.9647346518512163,25.942243542145693,0.9387924083090706
222,101.4474999034355,13.808907723034658,1,0.9647346518512163,25.942243542145693,0.9387924083090706
148,101.67247206958527,24.397725613882972,1,0.9646120190451679,25.942243542145693,0.9386697755030222
149,101.03558881919923,24.915185168657565,1,0.9646120190451679,25.942243542145693,0.9386697755030222
150,101.04607074463702,26.717681220423945,1,0.964591331202951,25.942243542145693,0.9386490876608053
136,101.40007963653453,25.172906945285686,1,0.964591331202951,25.942243542145693,0.9386490876608053
252,100.16060831753308,47.09472657101199,1,0.9645721638430195,25.942243542145693,0.9386299203008738
238,100.33055349572929,47.49671387438875,1,0.9645721638430195,25.942243542145693,0.9386299203008738
192,100.03618441988348,47.09068099028935,1,0.9645721638430195,25.942243542145693,0.9386299203008738
193,100.1751365575754,47.01052577927088,1,0.9645721638430195,25.942243542145693,0.9386299203008738
259,100.92405787962255,47.179279630489575,1,0.9645721638430195,25.942243542145693,0.9386299203008738
237,100.96781723950438,46.81213061975622,1,0.9645706442480912,25.942243542145693,0.9386284007059456
251,100.75952444029869,46.72467150359461,1,0.9645706442480912,25.942243542145693,0.9386284007059456
247,100.06480150709898,46.989895304342966,1,0.9645706442480912,25.942243542145693,0.9386284007059456
254,100.0052115706717,46.9400981182751,1,0.9645706442480912,25.942243542145693,0.9386284007059456
245,100.44770082658621,46.472348296379124,1,0.9645706442480912,25.942243542145693,0.9386284007059456
241,100.00240167045598,46.64533145075144,1,0.9645706442480912,25.942243542145693,0.9386284007059456
240,100.31132158807652,46.034618256590825,1,0.9645706442480912,25.942243542145693,0.9386284007059456
256,100.6680911056128,46.80051410801358,1,0.9645706442480912,25.942243542145693,0.9386284007059456
257,100.14282767019913,46.322571121798006,1,0.9645706442480912,25.942243542145693,0.9386284007059456
218,100.63187922241265,46.41800243164889,1,0.9645706442480912,25.942243542145693,0.9386284007059456
234,100.4871376183178,46.43875662902762,1,0.9645706442480912,25.942243542145693,0.9386284007059456
235,100.2738064831096,46.82794002080893,1,0.9645706442480912,25.942243542145693,0.9386284007059456
189,100.60505014412036,45.28625901377645,1,0.9645706442480912,25.942243542145693,0.9386284007059456
211,100.84500685057286,46.88973277647365,1,0.9645706442480912,25.942243542145693,0.9386284007059456
208,100.21320516579861,46.270875279106555,1,0.9645706442480912,25.942243542145693,0.9386284007059456
207,100.9136771381291,44.18944032120074,1,0.9645706442480912,25.942243542145693,0.9386284007059456
223,100.2644529222488,46.61523341584421,1,0.9645706442480912,25.942243542145693,0.9386284007059456
204,100.45718786934127,46.970453838163294,1,0.9645706442480912,25.942243542145693,0.9386284007059456
203,100.32587258981985,46.098141591541726,1,0.9645706442480912,25.942243542145693,0.9386284007059456
260,100.55239259845584,46.94174140020698,1,0.9645706442480912,25.942243542145693,0.9386284007059456
199,100.18397956068873,46.90864604029281,1,0.9645706442480912,25.942243542145693,0.9386284007059456
