trial,t_low,t_high,radius,top_n,dice,hausdorff,score
320,1.54035099623979,64.46137301592441,3,2,0.8875749034345966,32.12475680841802,0.8554501466261786
361,1.4110646852604147,62.3846010327239,3,2,0.8874273501662091,32.12475680841802,0.8553025933577911
318,1.496297889926857,62.694050893292626,3,2,0.8874273501662091,32.12475680841802,0.8553025933577911
353,1.3972398180285515,62.18685124200247,3,2,0.8874273501662091,32.12475680841802,0.8553025933577911
261,1.4327454469888616,62.412364471827054,3,2,0.8874273501662091,32.12475680841802,0.8553025933577911
302,1.5066772805512576,61.809072594050875,3,2,0.887362586030394,32.12475680841802,0.855237829221976
359,1.4837896232240446,61.67838778855222,3,2,0.887362586030394,32.12475680841802,0.855237829221976
362,1.5084232025138435,61.74587515129196,3,2,0.887362586030394,32.12475680841802,0.855237829221976
315,1.442715365275613,61.67866341961209,3,2,0.887362586030394,32.12475680841802,0.855237829221976
337,1.5539050910701682,61.191429099243535,3,2,0.887362586030394,32.12475680841802,0.855237829221976
276,1.513416475124171,61.63668508551504,3,2,0.887362586030394,32.12475680841802,0.855237829221976
368,1.5046671734777446,61.95996137020683,3,2,0.887362586030394,32.12475680841802,0.855237829221976
273,1.4561712562636488,61.52133943085545,3,2,0.887362586030394,32.12475680841802,0.855237829221976
342,1.5065775308189728,61.68065246976816,3,2,0.887362586030394,32.12475680841802,0.855237829221976
264,1.5154867813921618,61.33452034387112,3,2,0.887362586030394,32.12475680841802,0.855237829221976
308,1.5085424427320497,61.64132408746253,3,2,0.887362586030394,32.12475680841802,0.855237829221976
350,1.533772500204333,61.17483416744364,3,2,0.887362586030394,32.12475680841802,0.855237829221976
338,1.5396119675693491,61.71455043977626,3,2,0.887362586030394,32.12475680841802,0.855237829221976
293,1.657324525727359,61.42515233646226,3,2,0.887362586030394,32.12475680841802,0.855237829221976
96,0.5275585104538627,60.652682609447844,2,2,0.8873040830917212,32.07802986469088,0.8552260532270303
237,0.6220743944664751,61.87441538176155,4,2,0.8870406520846463,32.07802986469088,0.8549626222199554
69,1.7961510396138691,58.845579346704874,4,2,0.8870087640981885,32.12475680841802,0.8548840072897705
71,1.648720818278091,54.440615803144176,4,2,0.8867478727380664,32.12475680841802,0.8546231159296485
121,1.482533835566946,85.41314591734218,3,2,0.885435627108911,32.07802986469088,0.8533575972442201
8,2.2179603244931267,55.177884519959306,4,2,0.8851710038729905,32.14031735997639,0.8530306865130142
7,1.1932471209375262,76.52156063659434,5,2,0.8842989502173343,32.0624390837628,0.8522365111335715
391,2.452350422198722,62.65980649116282,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
397,2.449182160083179,62.0863672357052,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
394,2.453744491222638,62.148526190602546,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
386,2.4958135835790394,62.68286914394712,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
387,2.441662547764908,62.7014393583801,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
382,2.34596357562101,62.37602900319786,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
383,2.3556469752537685,62.7652016734143,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
384,2.591132439349595,62.40540794752701,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
392,2.657972022535948,62.22949134502664,3,2,0.8842140395089901,32.14031735997639,0.8520737221490138
385,2.547639321947896,61.90098511344311,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
390,2.2950925362246553,61.010706120734746,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
393,2.3645514030399455,61.87136574488071,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
389,2.3526472687979396,61.51062798544223,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
388,2.453573542062535,61.9989626767792,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
379,2.015148645166649,61.1648745738414,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
395,2.434933086586122,61.93487762872737,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
396,2.56813389126944,61.77484808321541,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
398,2.7233555929532605,61.6604771770603,3,2,0.8841486495513349,32.14031735997639,0.8520083321913585
399,2.5503890155254947,60.72082548050484,3,2,0.8840703463411053,32.14031735997639,0.8519300289811289
84,0.12313298426367636,98.58018131423262,3,2,0.8833267866004936,32.01562118716424,0.8513111654133293
14,0.9523961120719027,103.4709437068338,3,2,0.8830441739154595,32.01562118716424,0.8510285527282953
380,0.014154378421796343,121.1264490337859,3,2,0.8829111267467894,32.0,0.8509111267467894
40,0.7126118202053977,120.45284556748912,3,2,0.8828848557450949,32.0,0.8508848557450949
316,1.694300006978903,121.59628951101766,3,2,0.8828514133041605,32.0,0.8508514133041605
312,1.434185873837663,121.05545949870468,3,2,0.8828514133041605,32.0,0.8508514133041605
317,1.5719858753198022,121.77110573488677,3,2,0.8828514133041605,32.0,0.8508514133041605
303,1.3671538977969835,121.05587339975966,3,2,0.8828514133041605,32.0,0.8508514133041605
323,1.6100265527780562,121.72719809578138,3,2,0.8828514133041605,32.0,0.8508514133041605
306,1.564470586777689,121.00359190337743,3,2,0.8828514133041605,32.0,0.8508514133041605
304,1.5076798307239576,121.36690232046222,3,2,0.8828514133041605,32.0,0.8508514133041605
322,1.4934472305730402,121.8271668855322,3,2,0.8828514133041605,32.0,0.8508514133041605
281,1.469309878372572,121.3330989819304,3,2,0.8828514133041605,32.0,0.8508514133041605
294,1.7034007342156512,121.33060408271906,3,2,0.8828514133041605,32.0,0.8508514133041605
279,1.5001285734466538,121.204434044422,3,2,0.8828514133041605,32.0,0.8508514133041605
260,1.5520200489139777,121.190703908315,3,2,0.8828514133041605,32.0,0.8508514133041605
265,1.4809335933639427,121.31279743736366,3,2,0.8828514133041605,32.0,0.8508514133041605
267,1.5048274083851776,121.81254930872329,3,2,0.8828514133041605,32.0,0.8508514133041605
270,1.232161753082802,121.38672306221643,3,2,0.8828514133041605,32.0,0.8508514133041605
272,1.496048531958837,121.41665125087137,3,2,0.8828514133041605,32.0,0.8508514133041605
274,1.4844997649061504,121.28971811220228,3,2,0.8828514133041605,32.0,0.8508514133041605
277,1.43214114701078,121.19955717338867,3,2,0.8828514133041605,32.0,0.8508514133041605
325,1.5063839513855117,121.55795680511177,3,2,0.8828514133041605,32.0,0.8508514133041605
292,1.484384579519362,121.0007328260037,3,2,0.8828514133041605,32.0,0.8508514133041605
282,1.6789430975918693,121.84792444269928,3,2,0.8828514133041605,32.0,0.8508514133041605
283,1.2347638677795798,121.36143565955814,3,2,0.8828514133041605,32.0,0.8508514133041605
284,1.2961156488990153,121.39665353709225,3,2,0.8828514133041605,32.0,0.8508514133041605
286,1.4735409998250821,121.51842990708853,3,2,0.8828514133041605,32.0,0.8508514133041605
289,1.517178238585299,121.39866479708043,3,2,0.8828514133041605,32.0,0.8508514133041605
